human_H3K27ac_down.txt	human_H3K27ac_up.txt	human_H3K27me3_down.txt	human_H3K27me3_up.txt	human_H3K4me3_down.txt	human_H3K4me3_up.txt	human_H3K9ac_down.txt	human_H3K9ac_up.txt	human_H3K9me3_down.txt	human_H3K9me3_up.txt
	ENSG00000183160		ENSG00000108443		ENSG00000120334		ENSG00000111011		ENSG00000158793
	ENSG00000151364		ENSG00000089022		ENSG00000135828		ENSG00000137656		ENSG00000143222
	ENSG00000110887		ENSG00000116793		ENSG00000170075		ENSG00000143457		ENSG00000081721
	ENSG00000151366		ENSG00000062725		ENSG00000077152		ENSG00000176302		ENSG00000143228
	ENSG00000121058		ENSG00000135148		ENSG00000183155		ENSG00000143387		ENSG00000034971
	ENSG00000168679		ENSG00000179295		ENSG00000186007		ENSG00000188878		ENSG00000153029
	ENSG00000181610		ENSG00000089127		ENSG00000162813		ENSG00000143612		ENSG00000135828
	ENSG00000203837		ENSG00000116752		ENSG00000143748		ENSG00000160716		ENSG00000176393
	ENSG00000186795		ENSG00000166578		ENSG00000168148		ENSG00000163344		ENSG00000170075
	ENSG00000111229		ENSG00000075239		ENSG00000162851		ENSG00000163374		ENSG00000183155
	ENSG00000183605		ENSG00000089163		ENSG00000212299		ENSG00000132681		ENSG00000082512
	ENSG00000116752		ENSG00000089041		ENSG00000221066		ENSG00000010932		ENSG00000117691
	ENSG00000135094		ENSG00000136480		ENSG00000221009		ENSG00000034971		ENSG00000067704
	ENSG00000170890		ENSG00000186141		ENSG00000170807		ENSG00000120334		ENSG00000143753
	ENSG00000135097		ENSG00000089053		ENSG00000217472		ENSG00000120333		ENSG00000116957
	ENSG00000110871		ENSG00000182500		ENSG00000188992		ENSG00000135828		ENSG00000162851
	ENSG00000157782		ENSG00000139714		ENSG00000164825		ENSG00000170075		ENSG00000200264
	ENSG00000157895		ENSG00000188735		ENSG00000196476		ENSG00000183155		ENSG00000207181
	ENSG00000136480		ENSG00000158104		ENSG00000215397		ENSG00000186007		ENSG00000209804
	ENSG00000108370		ENSG00000110801		ENSG00000196209		ENSG00000162813		ENSG00000130656
	ENSG00000089053		ENSG00000158023		ENSG00000134072		ENSG00000168148		ENSG00000090565
	ENSG00000091583		ENSG00000182481		ENSG00000170262		ENSG00000162851		ENSG00000141255
	ENSG00000139714		ENSG00000137656		ENSG00000056097		ENSG00000212299		ENSG00000167088
	ENSG00000204671		ENSG00000150967		ENSG00000101405		ENSG00000221066		ENSG00000158201
	ENSG00000158113		ENSG00000111325		ENSG00000157103		ENSG00000221009		ENSG00000213638
	ENSG00000137656		ENSG00000086598		ENSG00000171865		ENSG00000223224		ENSG00000222013
	ENSG00000150977		ENSG00000184270		ENSG00000088726		ENSG00000217472		ENSG00000182557
	ENSG00000143457		ENSG00000178096		ENSG00000164535		ENSG00000196476		ENSG00000104885
	ENSG00000176302		ENSG00000117360		ENSG00000137434		ENSG00000196209		ENSG00000141384
	ENSG00000143387		ENSG00000163125		ENSG00000206562		ENSG00000134072		ENSG00000161920
	ENSG00000134940		ENSG00000150990		ENSG00000198054		ENSG00000187288		ENSG00000142484
	ENSG00000143612		ENSG00000143457		ENSG00000047662		ENSG00000170262		ENSG00000115750
	ENSG00000160716		ENSG00000143387		ENSG00000008086		ENSG00000125780		ENSG00000171848
	ENSG00000163344		ENSG00000125450		ENSG00000004846		ENSG00000056097		ENSG00000101695
	ENSG00000163374		ENSG00000163154		ENSG00000104689		ENSG00000101405		ENSG00000137804
	ENSG00000034971		ENSG00000159352		ENSG00000196683		ENSG00000157103		ENSG00000134758
	ENSG00000120334		ENSG00000176876		ENSG00000176732		ENSG00000171865		ENSG00000137806
	ENSG00000120333		ENSG00000189171		ENSG00000121895		ENSG00000144712		ENSG00000105325
	ENSG00000143322		ENSG00000160678		ENSG00000163792		ENSG00000164535		ENSG00000183617
	ENSG00000135828		ENSG00000110063		ENSG00000144671		ENSG00000159197		ENSG00000167967
	ENSG00000077152		ENSG00000143612		ENSG00000104695		ENSG00000137434		ENSG00000105229
	ENSG00000183155		ENSG00000182446		ENSG00000163793		ENSG00000206562		ENSG00000167664
	ENSG00000203710		ENSG00000185298		ENSG00000183323		ENSG00000109743		ENSG00000173960
	ENSG00000162813		ENSG00000169696		ENSG00000179934		ENSG00000198054		ENSG00000181856
	ENSG00000162851		ENSG00000141562		ENSG00000131068		ENSG00000047662		ENSG00000059122
	ENSG00000197472		ENSG00000163479		ENSG00000180483		ENSG00000197181		ENSG00000034063
	ENSG00000196418		ENSG00000143294		ENSG00000180424		ENSG00000004846		ENSG00000008516
	ENSG00000212299		ENSG00000143222		ENSG00000180383		ENSG00000104689		ENSG00000130182
	ENSG00000222370		ENSG00000143228		ENSG00000163803		ENSG00000196683		ENSG00000085644
	ENSG00000221066		ENSG00000143183		ENSG00000175176		ENSG00000176732		ENSG00000092470
	ENSG00000207313		ENSG00000143155		ENSG00000181061		ENSG00000137261		ENSG00000105519
	ENSG00000200394		ENSG00000120334		ENSG00000149600		ENSG00000112308		ENSG00000137770
	ENSG00000221009		ENSG00000153029		ENSG00000189045		ENSG00000121895		ENSG00000126603
	ENSG00000206612		ENSG00000135828		ENSG00000171643		ENSG00000164509		ENSG00000103423
	ENSG00000223224		ENSG00000183155		ENSG00000101391		ENSG00000163792		ENSG00000153406
	ENSG00000212351		ENSG00000198625		ENSG00000008869		ENSG00000104695		ENSG00000125652
	ENSG00000196476		ENSG00000203705		ENSG00000055332		ENSG00000163793		ENSG00000103415
	ENSG00000170262		ENSG00000136643		ENSG00000122678		ENSG00000183323		ENSG00000141499
	ENSG00000145220		ENSG00000162813		ENSG00000131067		ENSG00000179934		ENSG00000140623
	ENSG00000152953		ENSG00000067704		ENSG00000088298		ENSG00000131068		ENSG00000184857
	ENSG00000056097		ENSG00000143811		ENSG00000105968		ENSG00000180483		ENSG00000140650
	ENSG00000101405		ENSG00000162851		ENSG00000204183		ENSG00000180424		ENSG00000103274
	ENSG00000171865		ENSG00000212299		ENSG00000167904		ENSG00000180383		ENSG00000115216
	ENSG00000164304		ENSG00000221066		ENSG00000125975		ENSG00000163803		ENSG00000184650
	ENSG00000088726		ENSG00000221009		ENSG00000164049		ENSG00000175176		ENSG00000156958
	ENSG00000144712		ENSG00000209804		ENSG00000154997		ENSG00000171103		ENSG00000104064
	ENSG00000164535		ENSG00000223224		ENSG00000149636		ENSG00000101336		ENSG00000048462
	ENSG00000159197		ENSG00000199753		ENSG00000135002		ENSG00000181061		ENSG00000048471
	ENSG00000137434		ENSG00000212351		ENSG00000214652		ENSG00000109265		ENSG00000184900
	ENSG00000111837		ENSG00000206492		ENSG00000118702		ENSG00000149600		ENSG00000081014
	ENSG00000206562		ENSG00000196476		ENSG00000104343		ENSG00000163810		ENSG00000103429
	ENSG00000206560		ENSG00000154723		ENSG00000149633		ENSG00000101391		ENSG00000128872
	ENSG00000047662		ENSG00000125841		ENSG00000101425		ENSG00000008869		ENSG00000172954
	ENSG00000197181		ENSG00000101255		ENSG00000129988		ENSG00000055332		ENSG00000166780
	ENSG00000008086		ENSG00000125826		ENSG00000165118		ENSG00000122678		ENSG00000167774
	ENSG00000172239		ENSG00000172070		ENSG00000151292		ENSG00000120925		ENSG00000099785
	ENSG00000004846		ENSG00000134077		ENSG00000164904		ENSG00000131067		ENSG00000103222
	ENSG00000173530		ENSG00000163719		ENSG00000138035		ENSG00000088298		ENSG00000119820
	ENSG00000104689		ENSG00000106263		ENSG00000101049		ENSG00000105968		ENSG00000115760
	ENSG00000163491		ENSG00000079459		ENSG00000163633		ENSG00000204183		ENSG00000198258
	ENSG00000196683		ENSG00000087274		ENSG00000106635		ENSG00000167904		ENSG00000170537
	ENSG00000176732		ENSG00000106012		ENSG00000106638		ENSG00000125975		ENSG00000167186
	ENSG00000137261		ENSG00000214021		ENSG00000124196		ENSG00000172113		ENSG00000141759
	ENSG00000112308		ENSG00000156990		ENSG00000009950		ENSG00000164049		ENSG00000105364
	ENSG00000121895		ENSG00000206271		ENSG00000124194		ENSG00000138079		ENSG00000090339
	ENSG00000164548		ENSG00000170262		ENSG00000101074		ENSG00000204544		ENSG00000133030
	ENSG00000125888		ENSG00000171135		ENSG00000101076		ENSG00000149636		ENSG00000152147
	ENSG00000168078		ENSG00000144554		ENSG00000082898		ENSG00000135002		ENSG00000130734
	ENSG00000008226		ENSG00000134086		ENSG00000115484		ENSG00000146733		ENSG00000129353
	ENSG00000163792		ENSG00000134070		ENSG00000214954		ENSG00000118702		ENSG00000108591
	ENSG00000104695		ENSG00000056097		ENSG00000155329		ENSG00000104343		ENSG00000091542
	ENSG00000163793		ENSG00000106993		ENSG00000006837		ENSG00000149633		ENSG00000131899
	ENSG00000183323		ENSG00000112739		ENSG00000168634		ENSG00000101425		ENSG00000127616
	ENSG00000179934		ENSG00000075975		ENSG00000169599		ENSG00000129988		ENSG00000175267
	ENSG00000131068		ENSG00000206380		ENSG00000006606		ENSG00000165118		ENSG00000197256
	ENSG00000180483		ENSG00000115750		ENSG00000106178		ENSG00000173085		ENSG00000166797
	ENSG00000180424		ENSG00000187953		ENSG00000164919		ENSG00000164904		ENSG00000058600
	ENSG00000180383		ENSG00000129932		ENSG00000100979		ENSG00000083223		ENSG00000130159
	ENSG00000163803		ENSG00000185808		ENSG00000112981		ENSG00000101049		ENSG00000166855
	ENSG00000131055		ENSG00000206562		ENSG00000115998		ENSG00000106635		ENSG00000122257
	ENSG00000171103		ENSG00000206560		ENSG00000106785		ENSG00000106638		ENSG00000155592
	ENSG00000131044		ENSG00000125872		ENSG00000101040		ENSG00000124196		ENSG00000123144
	ENSG00000101336		ENSG00000047662		ENSG00000214513		ENSG00000009950		ENSG00000109016
	ENSG00000181061		ENSG00000155876		ENSG00000136928		ENSG00000149596		ENSG00000047578
	ENSG00000189045		ENSG00000105248		ENSG00000144048		ENSG00000124194		ENSG00000179115
	ENSG00000160298		ENSG00000096872		ENSG00000186076		ENSG00000101074		ENSG00000179271
	ENSG00000070601		ENSG00000196683		ENSG00000163170		ENSG00000082898		ENSG00000179284
	ENSG00000163815		ENSG00000127666		ENSG00000205403		ENSG00000115484		ENSG00000188603
	ENSG00000101391		ENSG00000034063		ENSG00000158480		ENSG00000155099		ENSG00000037757
	ENSG00000101400		ENSG00000121895		ENSG00000124208		ENSG00000214954		ENSG00000104979
	ENSG00000008869		ENSG00000112343		ENSG00000101115		ENSG00000155329		ENSG00000132003
	ENSG00000055332		ENSG00000086200		ENSG00000188917		ENSG00000127083		ENSG00000187556
	ENSG00000131067		ENSG00000123219		ENSG00000156802		ENSG00000006837		ENSG00000178188
	ENSG00000138050		ENSG00000115163		ENSG00000214814		ENSG00000101446		ENSG00000177455
	ENSG00000088298		ENSG00000168274		ENSG00000070159		ENSG00000168634		ENSG00000176953
	ENSG00000125966		ENSG00000164978		ENSG00000184090		ENSG00000158079		ENSG00000123143
	ENSG00000105968		ENSG00000125648		ENSG00000153310		ENSG00000169599		ENSG00000169682
	ENSG00000068394		ENSG00000026950		ENSG00000155897		ENSG00000101473		ENSG00000175202
	ENSG00000204183		ENSG00000104687		ENSG00000165071		ENSG00000106178		ENSG00000140463
	ENSG00000167904		ENSG00000104691		ENSG00000104415		ENSG00000100979		ENSG00000187912
	ENSG00000119139		ENSG00000104695		ENSG00000176386		ENSG00000112981		ENSG00000140464
	ENSG00000125975		ENSG00000134057		ENSG00000148218		ENSG00000115998		ENSG00000214587
	ENSG00000172113		ENSG00000153044		ENSG00000145391		ENSG00000146013		ENSG00000103485
	ENSG00000101335		ENSG00000134056		ENSG00000106246		ENSG00000149654		ENSG00000082898
	ENSG00000121022		ENSG00000183323		ENSG00000160916		ENSG00000146005		ENSG00000179361
	ENSG00000149636		ENSG00000115216		ENSG00000132912		ENSG00000106785		ENSG00000149932
	ENSG00000135002		ENSG00000171552		ENSG00000148219		ENSG00000214513		ENSG00000140506
	ENSG00000147592		ENSG00000175176		ENSG00000021461		ENSG00000144048		ENSG00000178741
	ENSG00000134970		ENSG00000088325		ENSG00000163530		ENSG00000163170		ENSG00000138071
	ENSG00000104343		ENSG00000163811		ENSG00000095261		ENSG00000205403		ENSG00000169371
	ENSG00000101425		ENSG00000181061		ENSG00000213337		ENSG00000124208		ENSG00000177971
	ENSG00000129988		ENSG00000099785		ENSG00000109686		ENSG00000171940		ENSG00000105058
	ENSG00000165118		ENSG00000185219		ENSG00000113263		ENSG00000204193		ENSG00000179965
	ENSG00000189308		ENSG00000152683		ENSG00000137392		ENSG00000129295		ENSG00000179918
	ENSG00000138035		ENSG00000147905		ENSG00000112053		ENSG00000104415		ENSG00000108651
	ENSG00000135052		ENSG00000101367		ENSG00000185955		ENSG00000176386		ENSG00000197162
	ENSG00000104231		ENSG00000215529		ENSG00000181007		ENSG00000145391		ENSG00000169599
	ENSG00000106635		ENSG00000171469		ENSG00000178042		ENSG00000132915		ENSG00000010244
	ENSG00000106638		ENSG00000008869		ENSG00000197808		ENSG00000106246		ENSG00000166411
	ENSG00000124196		ENSG00000078967		ENSG00000185869		ENSG00000160916		ENSG00000099330
	ENSG00000009950		ENSG00000055332		ENSG00000148215		ENSG00000177558		ENSG00000196975
	ENSG00000124194		ENSG00000131061		ENSG00000136940		ENSG00000160908		ENSG00000087338
	ENSG00000101074		ENSG00000141759		ENSG00000198169		ENSG00000070614		ENSG00000099385
	ENSG00000082898		ENSG00000122678		ENSG00000144214		ENSG00000132912		ENSG00000130311
	ENSG00000115484		ENSG00000120925		ENSG00000115514		ENSG00000148219		ENSG00000169684
	ENSG00000155099		ENSG00000125977		ENSG00000146839		ENSG00000021461		ENSG00000103496
	ENSG00000214954		ENSG00000078747		ENSG00000172738		ENSG00000163530		ENSG00000116005
	ENSG00000127083		ENSG00000101460		ENSG00000124721		ENSG00000105668		ENSG00000185787
	ENSG00000124145		ENSG00000105364		ENSG00000104814		ENSG00000095261		ENSG00000130479
	ENSG00000119865		ENSG00000188010		ENSG00000104823		ENSG00000221873		ENSG00000130475
	ENSG00000168634		ENSG00000100983		ENSG00000124731		ENSG00000213337		ENSG00000132141
	ENSG00000101470		ENSG00000088727		ENSG00000169087		ENSG00000109686		ENSG00000103490
	ENSG00000169599		ENSG00000088298		ENSG00000185056		ENSG00000113263		ENSG00000007080
	ENSG00000101473		ENSG00000129347		ENSG00000171611		ENSG00000137392		ENSG00000141161
	ENSG00000106178		ENSG00000105968		ENSG00000213921		ENSG00000197753		ENSG00000006125
	ENSG00000164919		ENSG00000132153		ENSG00000090920		ENSG00000112053		ENSG00000130513
	ENSG00000100979		ENSG00000126001		ENSG00000114520		ENSG00000196357		ENSG00000166123
	ENSG00000115998		ENSG00000136280		ENSG00000185055		ENSG00000185955		ENSG00000064726
	ENSG00000188051		ENSG00000137574		ENSG00000105223		ENSG00000119421		ENSG00000105676
	ENSG00000100985		ENSG00000125975		ENSG00000144161		ENSG00000181007		ENSG00000167491
	ENSG00000146013		ENSG00000125991		ENSG00000197408		ENSG00000178042		ENSG00000140718
	ENSG00000147099		ENSG00000127616		ENSG00000184903		ENSG00000185869		ENSG00000186010
	ENSG00000124370		ENSG00000172113		ENSG00000148337		ENSG00000148215		ENSG00000181991
	ENSG00000168374		ENSG00000197256		ENSG00000114656		ENSG00000136940		ENSG00000125148
	ENSG00000197496		ENSG00000105514		ENSG00000167112		ENSG00000198169		ENSG00000185033
	ENSG00000146005		ENSG00000137312		ENSG00000172426		ENSG00000196378		ENSG00000070915
	ENSG00000106785		ENSG00000130159		ENSG00000178804		ENSG00000144214		ENSG00000196547
	ENSG00000214513		ENSG00000025293		ENSG00000183103		ENSG00000115514		ENSG00000184508
	ENSG00000144048		ENSG00000198551		ENSG00000142025		ENSG00000146839		ENSG00000006210
	ENSG00000105701		ENSG00000171222		ENSG00000105737		ENSG00000171503		ENSG00000140553
	ENSG00000186076		ENSG00000213780		ENSG00000124469		ENSG00000188573		ENSG00000141738
	ENSG00000163170		ENSG00000196757		ENSG00000167378		ENSG00000124721		ENSG00000105185
	ENSG00000205403		ENSG00000101335		ENSG00000131116		ENSG00000186103		ENSG00000076650
	ENSG00000158480		ENSG00000095002		ENSG00000205085		ENSG00000104814		ENSG00000166398
	ENSG00000124208		ENSG00000173875		ENSG00000135248		ENSG00000173226		ENSG00000126249
	ENSG00000064313		ENSG00000101082		ENSG00000051382		ENSG00000160993		ENSG00000126261
	ENSG00000188917		ENSG00000149636		ENSG00000176395		ENSG00000104823		ENSG00000184277
	ENSG00000156802		ENSG00000135002		ENSG00000137270		ENSG00000185056		ENSG00000172828
	ENSG00000171940		ENSG00000170802		ENSG00000186567		ENSG00000188505		ENSG00000011590
	ENSG00000070159		ENSG00000146733		ENSG00000114115		ENSG00000213921		ENSG00000204815
	ENSG00000115423		ENSG00000146731		ENSG00000175066		ENSG00000090920		ENSG00000167604
	ENSG00000184090		ENSG00000118705		ENSG00000144231		ENSG00000114520		ENSG00000075702
	ENSG00000153310		ENSG00000179115		ENSG00000158525		ENSG00000105223		ENSG00000141098
	ENSG00000133706		ENSG00000214652		ENSG00000104881		ENSG00000144161		ENSG00000033627
	ENSG00000129295		ENSG00000179271		ENSG00000153086		ENSG00000197408		ENSG00000132600
	ENSG00000165071		ENSG00000126522		ENSG00000197380		ENSG00000148337		ENSG00000099337
	ENSG00000176386		ENSG00000101413		ENSG00000122787		ENSG00000114656		ENSG00000132612
	ENSG00000145391		ENSG00000154589		ENSG00000105281		ENSG00000167112		ENSG00000132603
	ENSG00000132915		ENSG00000104957		ENSG00000042753		ENSG00000172426		ENSG00000196218
	ENSG00000105711		ENSG00000154710		ENSG00000146858		ENSG00000163914		ENSG00000104814
	ENSG00000106246		ENSG00000165118		ENSG00000105507		ENSG00000178804		ENSG00000181019
	ENSG00000160916		ENSG00000106638		ENSG00000105499		ENSG00000183103		ENSG00000198373
	ENSG00000177558		ENSG00000214587		ENSG00000114248		ENSG00000142025		ENSG00000168872
	ENSG00000160908		ENSG00000082898		ENSG00000161609		ENSG00000167378		ENSG00000130669
	ENSG00000132912		ENSG00000168734		ENSG00000078081		ENSG00000131116		ENSG00000188505
	ENSG00000021461		ENSG00000104325		ENSG00000062822		ENSG00000124449		ENSG00000157353
	ENSG00000163530		ENSG00000214954		ENSG00000186038		ENSG00000205085		ENSG00000125319
	ENSG00000095261		ENSG00000101109		ENSG00000106648		ENSG00000135248		ENSG00000130755
	ENSG00000213337		ENSG00000155329		ENSG00000142511		ENSG00000050555		ENSG00000179134
	ENSG00000161270		ENSG00000198641		ENSG00000145194		ENSG00000186567		ENSG00000196235
	ENSG00000109686		ENSG00000006837		ENSG00000196584		ENSG00000114115		ENSG00000176401
	ENSG00000167604		ENSG00000141977		ENSG00000167754		ENSG00000175066		ENSG00000176396
	ENSG00000113263		ENSG00000204387		ENSG00000105370		ENSG00000144231		ENSG00000013275
	ENSG00000137392		ENSG00000105072		ENSG00000113790		ENSG00000136715		ENSG00000130758
	ENSG00000197753		ENSG00000113621		ENSG00000213822		ENSG00000125482		ENSG00000160392
	ENSG00000112053		ENSG00000169599		ENSG00000105492		ENSG00000104881		ENSG00000105223
	ENSG00000196357		ENSG00000101473		ENSG00000105501		ENSG00000125741		ENSG00000197019
	ENSG00000185955		ENSG00000099330		ENSG00000181092		ENSG00000124440		ENSG00000167565
	ENSG00000119421		ENSG00000196975		ENSG00000204595		ENSG00000153086		ENSG00000090013
	ENSG00000181007		ENSG00000005486		ENSG00000142405		ENSG00000197380		ENSG00000086544
	ENSG00000119446		ENSG00000164919		ENSG00000105619		ENSG00000122787		ENSG00000188493
	ENSG00000178042		ENSG00000100979		ENSG00000180228		ENSG00000105281		ENSG00000077312
	ENSG00000180316		ENSG00000115998		ENSG00000041802		ENSG00000042753		ENSG00000167600
	ENSG00000179165		ENSG00000100982		ENSG00000176945		ENSG00000146858		ENSG00000142039
	ENSG00000148215		ENSG00000112984		ENSG00000072274		ENSG00000188334		ENSG00000123810
	ENSG00000198169		ENSG00000044115		ENSG00000145107		ENSG00000105507		ENSG00000221901
	ENSG00000196378		ENSG00000124370		ENSG00000075711		ENSG00000105499		ENSG00000077348
	ENSG00000144214		ENSG00000131508		ENSG00000114473		ENSG00000105483		ENSG00000183103
	ENSG00000115514		ENSG00000095380		ENSG00000186431		ENSG00000105438		ENSG00000105372
	ENSG00000186471		ENSG00000106785		ENSG00000163002		ENSG00000068885		ENSG00000105369
	ENSG00000146839		ENSG00000124151		ENSG00000179709		ENSG00000119899		ENSG00000167625
	ENSG00000188573		ENSG00000168297		ENSG00000197487		ENSG00000114248		ENSG00000136436
	ENSG00000124721		ENSG00000144048		ENSG00000131864		ENSG00000161609		ENSG00000105429
	ENSG00000136918		ENSG00000105701		ENSG00000196724		ENSG00000078081		ENSG00000135709
	ENSG00000196218		ENSG00000163170		ENSG00000144381		ENSG00000062822		ENSG00000221872
	ENSG00000104814		ENSG00000065911		ENSG00000197442		ENSG00000186038		ENSG00000176531
	ENSG00000173226		ENSG00000124228		ENSG00000115934		ENSG00000106648		ENSG00000172530
	ENSG00000104823		ENSG00000197818		ENSG00000116030		ENSG00000142511		ENSG00000176472
	ENSG00000174705		ENSG00000105676		ENSG00000131013		ENSG00000138399		ENSG00000131116
	ENSG00000214357		ENSG00000124208		ENSG00000120253		ENSG00000196584		ENSG00000158545
	ENSG00000124731		ENSG00000186010		ENSG00000023228		ENSG00000105370		ENSG00000136444
	ENSG00000161241		ENSG00000115364		ENSG00000018280		ENSG00000105492		ENSG00000170100
	ENSG00000185056		ENSG00000189376		ENSG00000184786		ENSG00000163898		ENSG00000073008
	ENSG00000161243		ENSG00000156802		ENSG00000123992		ENSG00000105501		ENSG00000213892
	ENSG00000136895		ENSG00000156795		ENSG00000132321		ENSG00000181092		ENSG00000142273
	ENSG00000175766		ENSG00000160229		ENSG00000206937		ENSG00000204595		ENSG00000015413
	ENSG00000171611		ENSG00000176407		ENSG00000221459		ENSG00000142405		ENSG00000130208
	ENSG00000213921		ENSG00000156831		ENSG00000212447		ENSG00000105619		ENSG00000104853
	ENSG00000124713		ENSG00000184090				ENSG00000180228		ENSG00000142252
	ENSG00000090920		ENSG00000115486				ENSG00000041802		ENSG00000189114
	ENSG00000114520		ENSG00000124164				ENSG00000176945		ENSG00000130201
	ENSG00000185055		ENSG00000213965				ENSG00000072274		ENSG00000011052
	ENSG00000144909		ENSG00000076650				ENSG00000145107		ENSG00000125753
	ENSG00000160392		ENSG00000176386				ENSG00000075711		ENSG00000125741
	ENSG00000105223		ENSG00000104472				ENSG00000114473		ENSG00000125743
	ENSG00000144161		ENSG00000148218				ENSG00000186431		ENSG00000011478
	ENSG00000197408		ENSG00000105220				ENSG00000163002		ENSG00000176182
	ENSG00000148337		ENSG00000155850				ENSG00000105048		ENSG00000188425
	ENSG00000167600		ENSG00000130429				ENSG00000179709		ENSG00000104983
	ENSG00000114656		ENSG00000124614				ENSG00000197487		ENSG00000008438
	ENSG00000106976		ENSG00000124562				ENSG00000115934		ENSG00000068489
	ENSG00000077348		ENSG00000177556				ENSG00000131013		ENSG00000105287
	ENSG00000172426		ENSG00000095261				ENSG00000131023		ENSG00000105281
	ENSG00000178804		ENSG00000213337				ENSG00000120253		ENSG00000042753
	ENSG00000183103		ENSG00000166997				ENSG00000184786		ENSG00000130751
	ENSG00000142025		ENSG00000167604				ENSG00000123992		ENSG00000108443
	ENSG00000131459		ENSG00000155868				ENSG00000115488		ENSG00000105467
	ENSG00000146085		ENSG00000075702				ENSG00000132321		ENSG00000177202
	ENSG00000136819		ENSG00000173137				ENSG00000206937		ENSG00000176920
	ENSG00000167378		ENSG00000148187				ENSG00000221459		ENSG00000087076
	ENSG00000131116		ENSG00000178042				ENSG00000212447		ENSG00000104894
	ENSG00000205085		ENSG00000197808						ENSG00000104870
	ENSG00000135248		ENSG00000167637						ENSG00000126460
	ENSG00000050555		ENSG00000185414						ENSG00000136480
	ENSG00000126878		ENSG00000136940						ENSG00000104946
	ENSG00000051382		ENSG00000144214						ENSG00000131408
	ENSG00000137270		ENSG00000115514						ENSG00000125450
	ENSG00000186567		ENSG00000188283						ENSG00000105618
	ENSG00000114115		ENSG00000011454						ENSG00000170889
	ENSG00000175066		ENSG00000146828						ENSG00000167615
	ENSG00000144231		ENSG00000105738						ENSG00000105048
	ENSG00000104892		ENSG00000038274						ENSG00000167685
	ENSG00000158525		ENSG00000104814						ENSG00000197487
	ENSG00000104881		ENSG00000173226						ENSG00000212299
	ENSG00000153086		ENSG00000104823						ENSG00000221066
	ENSG00000105287		ENSG00000113719						ENSG00000223224
	ENSG00000122787		ENSG00000187994						ENSG00000206410
	ENSG00000105281		ENSG00000128626						ENSG00000145217
	ENSG00000214128		ENSG00000144909						ENSG00000127415
	ENSG00000146858		ENSG00000130758						ENSG00000196476
	ENSG00000157800		ENSG00000160392						ENSG00000101255
	ENSG00000085265		ENSG00000105223						ENSG00000104626
	ENSG00000105507		ENSG00000090013						ENSG00000134077
	ENSG00000105499		ENSG00000144161						ENSG00000163719
	ENSG00000105483		ENSG00000073111						ENSG00000079459
	ENSG00000105438		ENSG00000125630						ENSG00000106012
	ENSG00000068885		ENSG00000213054						ENSG00000214021
	ENSG00000104808		ENSG00000167578						ENSG00000156990
	ENSG00000078070		ENSG00000148337						ENSG00000125834
	ENSG00000078081		ENSG00000142039						ENSG00000187288
	ENSG00000062822		ENSG00000105329						ENSG00000144554
	ENSG00000135299		ENSG00000204659						ENSG00000134086
	ENSG00000186038		ENSG00000221901						ENSG00000134070
	ENSG00000106648		ENSG00000167112						ENSG00000106993
	ENSG00000142511		ENSG00000077348						ENSG00000177692
	ENSG00000138399		ENSG00000167113						ENSG00000112739
	ENSG00000196584		ENSG00000167118						ENSG00000101405
	ENSG00000123552		ENSG00000172426						ENSG00000197548
	ENSG00000105370		ENSG00000167625						ENSG00000122543
	ENSG00000105492		ENSG00000167136						ENSG00000132405
	ENSG00000163898		ENSG00000176531						ENSG00000154743
	ENSG00000105501		ENSG00000136819						ENSG00000075975
	ENSG00000181092		ENSG00000131116						ENSG00000136238
	ENSG00000105619		ENSG00000114054						ENSG00000144712
	ENSG00000180228		ENSG00000011422						ENSG00000163517
	ENSG00000041802		ENSG00000148358						ENSG00000146576
	ENSG00000176945		ENSG00000159905						ENSG00000082068
	ENSG00000072274		ENSG00000097007						ENSG00000169895
	ENSG00000145107		ENSG00000213892						ENSG00000171984
	ENSG00000075711		ENSG00000142273						ENSG00000002549
	ENSG00000114473		ENSG00000130207						ENSG00000047662
	ENSG00000105048		ENSG00000175066						ENSG00000155876
	ENSG00000179709		ENSG00000104856						ENSG00000008086
	ENSG00000144381		ENSG00000144231						ENSG00000174738
	ENSG00000197442		ENSG00000142252						ENSG00000096872
	ENSG00000013441		ENSG00000136715						ENSG00000112312
	ENSG00000115934		ENSG00000189114						ENSG00000134962
	ENSG00000001036		ENSG00000125741						ENSG00000182973
	ENSG00000138442		ENSG00000125746						ENSG00000165182
	ENSG00000131013		ENSG00000125743						ENSG00000120899
	ENSG00000131023		ENSG00000011478						ENSG00000101868
	ENSG00000155906		ENSG00000115762						ENSG00000086102
	ENSG00000023228		ENSG00000176182						ENSG00000125821
	ENSG00000146453		ENSG00000105287						ENSG00000123219
	ENSG00000018280		ENSG00000122787						ENSG00000165006
	ENSG00000123992		ENSG00000105281						ENSG00000113593
	ENSG00000206937		ENSG00000042753						ENSG00000164978
	ENSG00000221483		ENSG00000142230						ENSG00000186470
	ENSG00000221459		ENSG00000197405						ENSG00000026950
	ENSG00000212447		ENSG00000134815						ENSG00000088930
			ENSG00000174928						ENSG00000104691
			ENSG00000105438						ENSG00000104695
			ENSG00000087076						ENSG00000145740
			ENSG00000087088						ENSG00000134057
			ENSG00000104894						ENSG00000153044
			ENSG00000197362						ENSG00000197914
