human_H3K27ac_down.txt	human_H3K27ac_up.txt	human_H3K27me3_down.txt	human_H3K27me3_up.txt	human_H3K4me3_down.txt	human_H3K4me3_up.txt	human_H3K9ac_down.txt	human_H3K9ac_up.txt	human_H3K9me3_down.txt	human_H3K9me3_up.txt
ENSG00000122783	ENSG00000132026	ENSG00000162399	ENSG00000169682	ENSG00000108292	ENSG00000127530	ENSG00000105671	ENSG00000188269	ENSG00000198131	ENSG00000123472
ENSG00000073009	ENSG00000179115	ENSG00000104415	ENSG00000066084	ENSG00000168496	ENSG00000188269	ENSG00000064490	ENSG00000105141	ENSG00000135747	ENSG00000162368
ENSG00000089157	ENSG00000139537	ENSG00000148604	ENSG00000010803	ENSG00000147684	ENSG00000127515	ENSG00000176986	ENSG00000174943	ENSG00000188295	ENSG00000111481
ENSG00000149311	ENSG00000133983	ENSG00000214336	ENSG00000175216	ENSG00000104549	ENSG00000160994	ENSG00000181991	ENSG00000161031	ENSG00000207063	ENSG00000165949
ENSG00000142541	ENSG00000188603	ENSG00000124205	ENSG00000132591	ENSG00000115459	ENSG00000105141	ENSG00000134748	ENSG00000102886		ENSG00000167992
ENSG00000126458	ENSG00000127603	ENSG00000104499	ENSG00000119596	ENSG00000176473	ENSG00000174943	ENSG00000149483	ENSG00000178741		ENSG00000140057
ENSG00000126461	ENSG00000171136	ENSG00000182854	ENSG00000050426	ENSG00000116221	ENSG00000105127	ENSG00000108292	ENSG00000142949		ENSG00000123374
ENSG00000127399	ENSG00000185958	ENSG00000115041	ENSG00000079616	ENSG00000105171	ENSG00000140505	ENSG00000168496	ENSG00000172519		ENSG00000182218
ENSG00000196456	ENSG00000010803	ENSG00000106952	ENSG00000183283	ENSG00000178694	ENSG00000165917	ENSG00000147684	ENSG00000109919		ENSG00000165637
ENSG00000196961	ENSG00000186452	ENSG00000158966	ENSG00000119640	ENSG00000132300	ENSG00000178741	ENSG00000176407	ENSG00000165923		ENSG00000162385
ENSG00000148824	ENSG00000175216	ENSG00000176402	ENSG00000164010	ENSG00000022976	ENSG00000108176	ENSG00000176473	ENSG00000169371		ENSG00000167995
ENSG00000111325	ENSG00000044012	ENSG00000113196	ENSG00000174943	ENSG00000132313	ENSG00000142949	ENSG00000178694	ENSG00000176547		ENSG00000065361
ENSG00000182196	ENSG00000135457	ENSG00000161270	ENSG00000149932	ENSG00000076650	ENSG00000109919	ENSG00000166965	ENSG00000141977		ENSG00000081870
ENSG00000086598	ENSG00000127530	ENSG00000101856	ENSG00000148572	ENSG00000164284	ENSG00000186115	ENSG00000132313	ENSG00000138346		ENSG00000215883
ENSG00000160318	ENSG00000127515	ENSG00000179165	ENSG00000178741	ENSG00000114391	ENSG00000165923	ENSG00000105216	ENSG00000141979		ENSG00000116221
ENSG00000150991	ENSG00000160994	ENSG00000112164	ENSG00000096717	ENSG00000106245	ENSG00000030066	ENSG00000164284	ENSG00000005844		ENSG00000181852
ENSG00000143398	ENSG00000105141	ENSG00000182132	ENSG00000176390	ENSG00000198556	ENSG00000169371	ENSG00000114391	ENSG00000108651		ENSG00000221971
ENSG00000179820	ENSG00000105135	ENSG00000036828	ENSG00000177971	ENSG00000196652	ENSG00000176547	ENSG00000106245	ENSG00000156515		ENSG00000175336
ENSG00000173821	ENSG00000174943	ENSG00000214357	ENSG00000138346	ENSG00000164587	ENSG00000141977	ENSG00000198556	ENSG00000099385		ENSG00000022976
ENSG00000173207	ENSG00000140505	ENSG00000112559	ENSG00000179965	ENSG00000136888	ENSG00000138346	ENSG00000164587	ENSG00000188051		ENSG00000198056
ENSG00000167685	ENSG00000140506	ENSG00000120149	ENSG00000060339	ENSG00000002330	ENSG00000141979	ENSG00000136888	ENSG00000171773		ENSG00000126214
ENSG00000160752	ENSG00000178741	ENSG00000164466	ENSG00000063761	ENSG00000124562	ENSG00000005844	ENSG00000002330	ENSG00000132141		ENSG00000168005
ENSG00000196290	ENSG00000172519	ENSG00000113749	ENSG00000179918	ENSG00000082515	ENSG00000108651	ENSG00000124562	ENSG00000058335		ENSG00000175189
ENSG00000055044	ENSG00000109919	ENSG00000074317	ENSG00000108651	ENSG00000155868	ENSG00000183476	ENSG00000171858	ENSG00000156521		ENSG00000116652
ENSG00000144579	ENSG00000176390	ENSG00000175766	ENSG00000178691	ENSG00000138160	ENSG00000099385	ENSG00000082515	ENSG00000221817		ENSG00000002330
ENSG00000198625	ENSG00000165923	ENSG00000213921	ENSG00000197162	ENSG00000115446	ENSG00000188051	ENSG00000115446	ENSG00000134802		ENSG00000168067
ENSG00000203705	ENSG00000184060	ENSG00000173227	ENSG00000178028	ENSG00000148187	ENSG00000167483	ENSG00000148187	ENSG00000180817		ENSG00000184575
ENSG00000207241	ENSG00000030066	ENSG00000140835	ENSG00000165732	ENSG00000068120	ENSG00000132141	ENSG00000068120	ENSG00000156587		ENSG00000138160
ENSG00000202477	ENSG00000169371	ENSG00000153093	ENSG00000156853	ENSG00000125352	ENSG00000058335	ENSG00000125352	ENSG00000197429		ENSG00000174106
ENSG00000209645	ENSG00000176547	ENSG00000084207	ENSG00000156502	ENSG00000125356	ENSG00000134802	ENSG00000125356	ENSG00000156603		ENSG00000168062
ENSG00000199631	ENSG00000141977	ENSG00000120088	ENSG00000108666	ENSG00000137955	ENSG00000180817	ENSG00000137955	ENSG00000154768		ENSG00000213465
ENSG00000208342	ENSG00000138346	ENSG00000091128	ENSG00000166411	ENSG00000072571	ENSG00000156587	ENSG00000072571	ENSG00000129270		ENSG00000168061
ENSG00000212232	ENSG00000122912	ENSG00000146216	ENSG00000099385	ENSG00000071082	ENSG00000197429	ENSG00000071082	ENSG00000123472		ENSG00000108239
ENSG00000200259	ENSG00000141979	ENSG00000167600	ENSG00000099364	ENSG00000132603	ENSG00000156603	ENSG00000178982	ENSG00000105701		ENSG00000119969
ENSG00000201823	ENSG00000108651	ENSG00000183103	ENSG00000103496	ENSG00000178982	ENSG00000154768	ENSG00000175573	ENSG00000129636		ENSG00000204710
ENSG00000206620	ENSG00000156515	ENSG00000197943	ENSG00000186603	ENSG00000175467	ENSG00000123472	ENSG00000175550	ENSG00000166152		ENSG00000014138
ENSG00000201754	ENSG00000099385	ENSG00000174339	ENSG00000156521	ENSG00000171314	ENSG00000105701	ENSG00000120129	ENSG00000162373		ENSG00000133884
ENSG00000207437	ENSG00000070785	ENSG00000105737	ENSG00000117448	ENSG00000128626	ENSG00000123473	ENSG00000171314	ENSG00000177082		ENSG00000175467
ENSG00000202503	ENSG00000132141	ENSG00000146221	ENSG00000132780	ENSG00000157349	ENSG00000204006	ENSG00000128626	ENSG00000138279		ENSG00000174547
ENSG00000201487	ENSG00000058335	ENSG00000103175	ENSG00000086666	ENSG00000171307	ENSG00000167230	ENSG00000157349	ENSG00000204006		ENSG00000174483
ENSG00000201067	ENSG00000156521	ENSG00000167080	ENSG00000159596	ENSG00000168591	ENSG00000175398	ENSG00000168591	ENSG00000167230		ENSG00000165887
ENSG00000209804	ENSG00000186652	ENSG00000103196	ENSG00000197429	ENSG00000189091	ENSG00000167992	ENSG00000189091	ENSG00000149506		ENSG00000174165
ENSG00000200087	ENSG00000134802	ENSG00000140968	ENSG00000086015	ENSG00000113194	ENSG00000157766	ENSG00000113194	ENSG00000117862		ENSG00000204633
ENSG00000206942	ENSG00000180817	ENSG00000115112	ENSG00000213593	ENSG00000196235	ENSG00000182218	ENSG00000196235	ENSG00000213231		ENSG00000043822
ENSG00000206874	ENSG00000148734	ENSG00000154118	ENSG00000117481	ENSG00000113761	ENSG00000125124	ENSG00000198055	ENSG00000167992		ENSG00000198018
ENSG00000201675	ENSG00000169896	ENSG00000148357	ENSG00000123472	ENSG00000172613	ENSG00000102891	ENSG00000167565	ENSG00000157766		ENSG00000119929
